key,en,es
"contacto.description","Contact us today to discover how our solutions can be tailored to your specific needs and enhance your operational efficiency.","Contáctenos hoy mismo para descubrir cómo nuestras soluciones pueden adaptarse a tus necesidades específicas y mejorar tu eficiencia operativa."
"contacto.title","Ready to transform your workflow?","¿Listo para transformar tu flujo de trabajo?"
"description","Specialized technological solutions for the film industry, developed by experts in the field.","Soluciones tecnológicas especializadas para la industria cinematográfica, desarrolladas por expertos en el sector."
"footer.careers","Careers","Carreras"
"footer.contact","Contact","Contacto"
"footer.copyright","2025 programita d3. All rights reserved.","2025 programita d3. Todos los derechos reservados."
"footer.description","Specialized technological solutions for the film industry, developed by experts in the field.","Soluciones tecnológicas especializadas para la industria cinematográfica, desarrolladas por expertos en el sector."
"footer.job_opportunities","Job Opportunities","Oportunidades de empleo"
"footer.our_culture","Our Culture","Nuestra cultura"
"footer.products","Products","Productos"
"hero.cta_primary","Get in touch","Ponte en contacto"
"hero.description","At programita d3, we develop tools that optimize film production workflows, ensuring security, efficiency, and productivity.","En programita d3 desarrollamos herramientas que optimizan los flujos de trabajo cinematográficos, garantizando seguridad, eficiencia y productividad."
"hero.sparkles","Solutions for film professionals","Soluciones para profesionales del cine"
"hero.title","Technological solutions for film professionals","Soluciones tecnológicas para profesionales del cine"
"jobs.apply_button","Apply now","Aplicar ahora"
"jobs.apply_now","Apply now","Aplicar ahora"
"jobs.back_to_jobs","Back to jobs","Volver a empleos"
"jobs.benefits","Benefits","Beneficios"
"jobs.department","Department","Departamento"
"jobs.description","At programita d3, we look for talent passionate about technology and film. Explore our current opportunities and be part of an innovative team.","En programita d3 buscamos talento apasionado por la tecnología y el cine. Explora nuestras oportunidades actuales y forma parte de un equipo innovador."
"jobs.design","Design","Diseño"
"jobs.engineering","Engineering","Ingeniería"
"jobs.filter_all","All","Todos"
"jobs.filter_department","Department","Departamento"
"jobs.filter_location","Location","Ubicación"
"jobs.filter_type","Type","Tipo"
"jobs.full_time","Full time","Tiempo completo"
"jobs.hybrid","Hybrid","Híbrido"
"jobs.location","Location","Ubicación"
"jobs.marketing","Marketing","Marketing"
"jobs.no_positions","No open positions currently. Check back soon!","No hay posiciones abiertas actualmente. ¡Vuelve pronto!"
"jobs.onsite","On-site","Presencial"
"jobs.other","Other","Otros"
"jobs.part_time","Part time","Tiempo parcial"
"jobs.posted_date","Posted","Publicado"
"jobs.product","Product","Producto"
"jobs.remote","Remote","Remoto"
"jobs.requirements","Requirements","Requisitos"
"jobs.responsibilities","Responsibilities","Responsabilidades"
"jobs.share","Share","Compartir"
"jobs.subtitle","Job opportunities at programita d3","Oportunidades de empleo en programita d3"
"jobs.title","Join our team","Únete a nuestro equipo"
"jobs.type","Type","Tipo"
"language","Language","Idioma"
"nosotros.description1","At programita d3, we combine a passion for film with software development expertise, creating innovative solutions for the industry.","En programita d3, combinamos la pasión por el cine con la experiencia en desarrollo de software, creando soluciones innovadoras para la industria."
"nosotros.description2","Our team consists of professionals with extensive experience in both technology and audiovisual production, ensuring tools tailored to real industry needs.","Nuestro equipo está formado por profesionales con amplia experiencia tanto en tecnología como en producción audiovisual, garantizando herramientas adaptadas a las necesidades reales del sector."
"nosotros.description3","We are dedicated to improving workflows, increasing security, and optimizing productivity, allowing film professionals to focus on creativity.","Nos dedicamos a mejorar los flujos de trabajo, aumentar la seguridad y optimizar la productividad, permitiendo a los profesionales del cine centrarse en la creatividad."
"nosotros.title","Who We Are","Quiénes Somos"
"productos.costcompiler.description","Improve the accuracy of your financial reports with our tailored tool, designed to streamline cost management and reporting for film production companies.","Mejora la precisión de tus informes financieros con nuestra herramienta a medida, diseñada para optimizar la gestión y reporte de costos en productoras audiovisuales."
"productos.description","We develop specialized solutions to meet the specific needs of the film industry.","Desarrollamos soluciones especializadas para cubrir las necesidades específicas de la industria cinematográfica."
"productos.ionisium.description","Ionisium transforms how film professionals distribute sensitive documents, ensuring secure deliveries with automated watermarking and efficient contact management.","Ionisium transforma cómo los profesionales cinematográficos distribuyen documentos sensibles, asegurando envíos seguros con marcas de agua automatizadas y una gestión eficiente de contactos."
"productos.more","And more products are on the way! Stay tuned to discover our upcoming innovations.","¡Y más productos están en camino! Mantente atento para descubrir nuestras próximas innovaciones."
"productos.moreinfo","More information","Más información"
"productos.title","Our Products","Nuestros Productos"